unit,sensor,product group
B-1002:1:1,E10988,climate
B-1002:2:1,E10988,climate
B-1002:3:1,E10988,climate
B-1002:4:1,E10988,climate
B-1002:5:1,E10988,climate
B-1002:6:1,E10988,climate
B-1002:7:1,E10988,climate
B-1002:8:1,E10988,climate
B-1002:9:1,E10988,climate
B-1002:10:1,E10988,climate
B-1002:11:1,E10988,climate
B-1002:12:1,E10988,climate
B-10:1:1,E11004,climate
B-10:2:1,E11004,climate
B-10:3:1,E11004,climate
B-10:4:1,E11004,climate
B-10:5:1,E11004,climate
B-10:6:1,E11004,climate
B-10:7:1,E11004,climate
B-10:8:1,E11004,climate
B-10:9:1,E11004,climate
B-10:10:1,E11004,climate
B-10:11:1,E11004,climate
B-10:12:1,E11004,climate
B-1:1:1,E10988,climate
B-1:2:1,E10988,climate
B-1:3:1,E10988,climate
B-1:4:1,E10988,climate
B-1:5:1,E10988,climate
B-1:6:1,E10988,climate
B-1:7:1,E10988,climate
B-1:8:1,E10988,climate
B-1:9:1,E10988,climate
B-1:10:1,E10988,climate
B-1:11:1,E10988,climate
B-1:12:1,E10988,climate
B-7:1:1,E11004,climate
B-7:2:1,E11004,climate
B-7:3:1,E11004,climate
B-7:4:1,E11004,climate
B-7:5:1,E11004,climate
B-7:6:1,E11004,climate
B-7:7:1,E11004,climate
B-7:8:1,E11004,climate
B-7:9:1,E11004,climate
B-7:10:1,E11004,climate
B-7:11:1,E11004,climate
B-7:12:1,E11004,climate
B-2:1:1,E10988,climate
B-2:2:1,E10988,climate
B-2:3:1,E10988,climate
B-2:4:1,E10988,climate
B-2:5:1,E10988,climate
B-2:6:1,E10988,climate
B-2:7:1,E10988,climate
B-2:8:1,E10988,climate
B-2:9:1,E10988,climate
B-2:10:1,E10988,climate
B-2:11:1,E10988,climate
B-2:12:1,E10988,climate
B-6:1:1,E11004,climate
B-6:2:1,E11004,climate
B-6:3:1,E11004,climate
B-6:4:1,E11004,climate
B-6:5:1,E11004,climate
B-6:6:1,E11004,climate
B-6:7:1,E11004,climate
B-6:8:1,E11004,climate
B-6:9:1,E11004,climate
B-6:10:1,E11004,climate
B-6:11:1,E11004,climate
B-6:12:1,E11004,climate
B-1009:1:1,E11004,climate
B-1009:2:1,E11004,climate
B-1009:3:1,E11004,climate
B-1009:4:1,E11004,climate
B-1009:5:1,E11004,climate
B-1009:6:1,E11004,climate
B-1009:7:1,E11004,climate
B-1009:8:1,E11004,climate
B-1009:9:1,E11004,climate
B-1009:10:1,E11004,climate
B-1009:11:1,E11004,climate
B-1009:12:1,E11004,climate
B-5:1:1,E10988,climate
B-5:2:1,E10988,climate
B-5:3:1,E10988,climate
B-5:4:1,E10988,climate
B-5:5:1,E10988,climate
B-5:6:1,E10988,climate
B-5:7:1,E10988,climate
B-5:8:1,E10988,climate
B-5:9:1,E10988,climate
B-5:10:1,E10988,climate
B-5:11:1,E10988,climate
B-5:12:1,E10988,climate
B-1008:1:1,E11004,climate
B-1008:2:1,E11004,climate
B-1008:3:1,E11004,climate
B-1008:4:1,E11004,climate
B-1008:5:1,E11004,climate
B-1008:6:1,E11004,climate
B-1008:7:1,E11004,climate
B-1008:8:1,E11004,climate
B-1008:9:1,E11004,climate
B-1008:10:1,E11004,climate
B-1008:11:1,E11004,climate
B-1008:12:1,E11004,climate
B-1001:1:1,E10988,climate
B-1001:2:1,E10988,climate
B-1001:3:1,E10988,climate
B-1001:4:1,E10988,climate
B-1001:5:1,E10988,climate
B-1001:6:1,E10988,climate
B-1001:7:1,E10988,climate
B-1001:8:1,E10988,climate
B-1001:9:1,E10988,climate
B-1001:10:1,E10988,climate
B-1001:11:1,E10988,climate
B-1001:12:1,E10988,climate
B-8:1:1,E11004,climate
B-8:2:1,E11004,climate
B-8:3:1,E11004,climate
B-8:4:1,E11004,climate
B-8:5:1,E11004,climate
B-8:6:1,E11004,climate
B-8:7:1,E11004,climate
B-8:8:1,E11004,climate
B-8:9:1,E11004,climate
B-8:10:1,E11004,climate
B-8:11:1,E11004,climate
B-8:12:1,E11004,climate
B-1004:1:1,E10988,climate
B-1004:2:1,E10988,climate
B-1004:3:1,E10988,climate
B-1004:4:1,E10988,climate
B-1004:5:1,E10988,climate
B-1004:6:1,E10988,climate
B-1004:7:1,E10988,climate
B-1004:8:1,E10988,climate
B-1004:9:1,E10988,climate
B-1004:10:1,E10988,climate
B-1004:11:1,E10988,climate
B-1004:12:1,E10988,climate
B-1005:1:1,E10988,climate
B-1005:2:1,E10988,climate
B-1005:3:1,E10988,climate
B-1005:4:1,E10988,climate
B-1005:5:1,E10988,climate
B-1005:6:1,E10988,climate
B-1005:7:1,E10988,climate
B-1005:8:1,E10988,climate
B-1005:9:1,E10988,climate
B-1005:10:1,E10988,climate
B-1005:11:1,E10988,climate
B-1005:12:1,E10988,climate
B-1003:1:1,E10988,climate
B-1003:2:1,E10988,climate
B-1003:3:1,E10988,climate
B-1003:4:1,E10988,climate
B-1003:5:1,E10988,climate
B-1003:6:1,E10988,climate
B-1003:7:1,E10988,climate
B-1003:8:1,E10988,climate
B-1003:9:1,E10988,climate
B-1003:10:1,E10988,climate
B-1003:11:1,E10988,climate
B-1003:12:1,E10988,climate
B-4:1:1,E10988,climate
B-4:2:1,E10988,climate
B-4:3:1,E10988,climate
B-4:4:1,E10988,climate
B-4:5:1,E10988,climate
B-4:6:1,E10988,climate
B-4:7:1,E10988,climate
B-4:8:1,E10988,climate
B-4:9:1,E10988,climate
B-4:10:1,E10988,climate
B-4:11:1,E10988,climate
B-4:12:1,E10988,climate
B-9:1:1,E11004,climate
B-9:2:1,E11004,climate
B-9:3:1,E11004,climate
B-9:4:1,E11004,climate
B-9:5:1,E11004,climate
B-9:6:1,E11004,climate
B-9:7:1,E11004,climate
B-9:8:1,E11004,climate
B-9:9:1,E11004,climate
B-9:10:1,E11004,climate
B-9:11:1,E11004,climate
B-9:12:1,E11004,climate
B-3:1:1,E10988,climate
B-3:2:1,E10988,climate
B-3:3:1,E10988,climate
B-3:4:1,E10988,climate
B-3:5:1,E10988,climate
B-3:6:1,E10988,climate
B-3:7:1,E10988,climate
B-3:8:1,E10988,climate
B-3:9:1,E10988,climate
B-3:10:1,E10988,climate
B-3:11:1,E10988,climate
B-3:12:1,E10988,climate
B-1007:1:1,E11004,climate
B-1007:2:1,E11004,climate
B-1007:3:1,E11004,climate
B-1007:4:1,E11004,climate
B-1007:5:1,E11004,climate
B-1007:6:1,E11004,climate
B-1007:7:1,E11004,climate
B-1007:8:1,E11004,climate
B-1007:9:1,E11004,climate
B-1007:10:1,E11004,climate
B-1007:11:1,E11004,climate
B-1007:12:1,E11004,climate
B-1006:1:1,E11004,climate
B-1006:2:1,E11004,climate
B-1006:3:1,E11004,climate
B-1006:4:1,E11004,climate
B-1006:5:1,E11004,climate
B-1006:6:1,E11004,climate
B-1006:7:1,E11004,climate
B-1006:8:1,E11004,climate
B-1006:9:1,E11004,climate
B-1006:10:1,E11004,climate
B-1006:11:1,E11004,climate
B-1006:12:1,E11004,climate
B-1010:1:1,E11004,climate
B-1010:2:1,E11004,climate
B-1010:3:1,E11004,climate
B-1010:4:1,E11004,climate
B-1010:5:1,E11004,climate
B-1010:6:1,E11004,climate
B-1010:7:1,E11004,climate
B-1010:8:1,E11004,climate
B-1010:9:1,E11004,climate
B-1010:10:1,E11004,climate
B-1010:11:1,E11004,climate
B-1010:12:1,E11004,climate
B-1002:1:1,Anywhere,climate
B-1002:2:1,Anywhere,climate
B-1002:3:1,Anywhere,climate
B-1002:4:1,Anywhere,climate
B-1002:5:1,Anywhere,climate
B-1002:6:1,Anywhere,climate
B-1002:7:1,Anywhere,climate
B-1002:8:1,Anywhere,climate
B-1002:9:1,Anywhere,climate
B-1002:10:1,Anywhere,climate
B-1002:11:1,Anywhere,climate
B-1002:12:1,Anywhere,climate
B-10:1:1,Anywhere,climate
B-10:2:1,Anywhere,climate
B-10:3:1,Anywhere,climate
B-10:4:1,Anywhere,climate
B-10:5:1,Anywhere,climate
B-10:6:1,Anywhere,climate
B-10:7:1,Anywhere,climate
B-10:8:1,Anywhere,climate
B-10:9:1,Anywhere,climate
B-10:10:1,Anywhere,climate
B-10:11:1,Anywhere,climate
B-10:12:1,Anywhere,climate
B-1:1:1,Anywhere,climate
B-1:2:1,Anywhere,climate
B-1:3:1,Anywhere,climate
B-1:4:1,Anywhere,climate
B-1:5:1,Anywhere,climate
B-1:6:1,Anywhere,climate
B-1:7:1,Anywhere,climate
B-1:8:1,Anywhere,climate
B-1:9:1,Anywhere,climate
B-1:10:1,Anywhere,climate
B-1:11:1,Anywhere,climate
B-1:12:1,Anywhere,climate
B-7:1:1,Anywhere,climate
B-7:2:1,Anywhere,climate
B-7:3:1,Anywhere,climate
B-7:4:1,Anywhere,climate
B-7:5:1,Anywhere,climate
B-7:6:1,Anywhere,climate
B-7:7:1,Anywhere,climate
B-7:8:1,Anywhere,climate
B-7:9:1,Anywhere,climate
B-7:10:1,Anywhere,climate
B-7:11:1,Anywhere,climate
B-7:12:1,Anywhere,climate
B-2:1:1,Anywhere,climate
B-2:2:1,Anywhere,climate
B-2:3:1,Anywhere,climate
B-2:4:1,Anywhere,climate
B-2:5:1,Anywhere,climate
B-2:6:1,Anywhere,climate
B-2:7:1,Anywhere,climate
B-2:8:1,Anywhere,climate
B-2:9:1,Anywhere,climate
B-2:10:1,Anywhere,climate
B-2:11:1,Anywhere,climate
B-2:12:1,Anywhere,climate
B-6:1:1,Anywhere,climate
B-6:2:1,Anywhere,climate
B-6:3:1,Anywhere,climate
B-6:4:1,Anywhere,climate
B-6:5:1,Anywhere,climate
B-6:6:1,Anywhere,climate
B-6:7:1,Anywhere,climate
B-6:8:1,Anywhere,climate
B-6:9:1,Anywhere,climate
B-6:10:1,Anywhere,climate
B-6:11:1,Anywhere,climate
B-6:12:1,Anywhere,climate
B-1009:1:1,Anywhere,climate
B-1009:2:1,Anywhere,climate
B-1009:3:1,Anywhere,climate
B-1009:4:1,Anywhere,climate
B-1009:5:1,Anywhere,climate
B-1009:6:1,Anywhere,climate
B-1009:7:1,Anywhere,climate
B-1009:8:1,Anywhere,climate
B-1009:9:1,Anywhere,climate
B-1009:10:1,Anywhere,climate
B-1009:11:1,Anywhere,climate
B-1009:12:1,Anywhere,climate
B-5:1:1,Anywhere,climate
B-5:2:1,Anywhere,climate
B-5:3:1,Anywhere,climate
B-5:4:1,Anywhere,climate
B-5:5:1,Anywhere,climate
B-5:6:1,Anywhere,climate
B-5:7:1,Anywhere,climate
B-5:8:1,Anywhere,climate
B-5:9:1,Anywhere,climate
B-5:10:1,Anywhere,climate
B-5:11:1,Anywhere,climate
B-5:12:1,Anywhere,climate
B-1008:1:1,Anywhere,climate
B-1008:2:1,Anywhere,climate
B-1008:3:1,Anywhere,climate
B-1008:4:1,Anywhere,climate
B-1008:5:1,Anywhere,climate
B-1008:6:1,Anywhere,climate
B-1008:7:1,Anywhere,climate
B-1008:8:1,Anywhere,climate
B-1008:9:1,Anywhere,climate
B-1008:10:1,Anywhere,climate
B-1008:11:1,Anywhere,climate
B-1008:12:1,Anywhere,climate
B-1001:1:1,Anywhere,climate
B-1001:2:1,Anywhere,climate
B-1001:3:1,Anywhere,climate
B-1001:4:1,Anywhere,climate
B-1001:5:1,Anywhere,climate
B-1001:6:1,Anywhere,climate
B-1001:7:1,Anywhere,climate
B-1001:8:1,Anywhere,climate
B-1001:9:1,Anywhere,climate
B-1001:10:1,Anywhere,climate
B-1001:11:1,Anywhere,climate
B-1001:12:1,Anywhere,climate
B-8:1:1,Anywhere,climate
B-8:2:1,Anywhere,climate
B-8:3:1,Anywhere,climate
B-8:4:1,Anywhere,climate
B-8:5:1,Anywhere,climate
B-8:6:1,Anywhere,climate
B-8:7:1,Anywhere,climate
B-8:8:1,Anywhere,climate
B-8:9:1,Anywhere,climate
B-8:10:1,Anywhere,climate
B-8:11:1,Anywhere,climate
B-8:12:1,Anywhere,climate
B-1004:1:1,Anywhere,climate
B-1004:2:1,Anywhere,climate
B-1004:3:1,Anywhere,climate
B-1004:4:1,Anywhere,climate
B-1004:5:1,Anywhere,climate
B-1004:6:1,Anywhere,climate
B-1004:7:1,Anywhere,climate
B-1004:8:1,Anywhere,climate
B-1004:9:1,Anywhere,climate
B-1004:10:1,Anywhere,climate
B-1004:11:1,Anywhere,climate
B-1004:12:1,Anywhere,climate
B-1005:1:1,Anywhere,climate
B-1005:2:1,Anywhere,climate
B-1005:3:1,Anywhere,climate
B-1005:4:1,Anywhere,climate
B-1005:5:1,Anywhere,climate
B-1005:6:1,Anywhere,climate
B-1005:7:1,Anywhere,climate
B-1005:8:1,Anywhere,climate
B-1005:9:1,Anywhere,climate
B-1005:10:1,Anywhere,climate
B-1005:11:1,Anywhere,climate
B-1005:12:1,Anywhere,climate
B-1003:1:1,Anywhere,climate
B-1003:2:1,Anywhere,climate
B-1003:3:1,Anywhere,climate
B-1003:4:1,Anywhere,climate
B-1003:5:1,Anywhere,climate
B-1003:6:1,Anywhere,climate
B-1003:7:1,Anywhere,climate
B-1003:8:1,Anywhere,climate
B-1003:9:1,Anywhere,climate
B-1003:10:1,Anywhere,climate
B-1003:11:1,Anywhere,climate
B-1003:12:1,Anywhere,climate
B-4:1:1,Anywhere,climate
B-4:2:1,Anywhere,climate
B-4:3:1,Anywhere,climate
B-4:4:1,Anywhere,climate
B-4:5:1,Anywhere,climate
B-4:6:1,Anywhere,climate
B-4:7:1,Anywhere,climate
B-4:8:1,Anywhere,climate
B-4:9:1,Anywhere,climate
B-4:10:1,Anywhere,climate
B-4:11:1,Anywhere,climate
B-4:12:1,Anywhere,climate
B-9:1:1,Anywhere,climate
B-9:2:1,Anywhere,climate
B-9:3:1,Anywhere,climate
B-9:4:1,Anywhere,climate
B-9:5:1,Anywhere,climate
B-9:6:1,Anywhere,climate
B-9:7:1,Anywhere,climate
B-9:8:1,Anywhere,climate
B-9:9:1,Anywhere,climate
B-9:10:1,Anywhere,climate
B-9:11:1,Anywhere,climate
B-9:12:1,Anywhere,climate
B-3:1:1,Anywhere,climate
B-3:2:1,Anywhere,climate
B-3:3:1,Anywhere,climate
B-3:4:1,Anywhere,climate
B-3:5:1,Anywhere,climate
B-3:6:1,Anywhere,climate
B-3:7:1,Anywhere,climate
B-3:8:1,Anywhere,climate
B-3:9:1,Anywhere,climate
B-3:10:1,Anywhere,climate
B-3:11:1,Anywhere,climate
B-3:12:1,Anywhere,climate
B-1007:1:1,Anywhere,climate
B-1007:2:1,Anywhere,climate
B-1007:3:1,Anywhere,climate
B-1007:4:1,Anywhere,climate
B-1007:5:1,Anywhere,climate
B-1007:6:1,Anywhere,climate
B-1007:7:1,Anywhere,climate
B-1007:8:1,Anywhere,climate
B-1007:9:1,Anywhere,climate
B-1007:10:1,Anywhere,climate
B-1007:11:1,Anywhere,climate
B-1007:12:1,Anywhere,climate
B-1006:1:1,Anywhere,climate
B-1006:2:1,Anywhere,climate
B-1006:3:1,Anywhere,climate
B-1006:4:1,Anywhere,climate
B-1006:5:1,Anywhere,climate
B-1006:6:1,Anywhere,climate
B-1006:7:1,Anywhere,climate
B-1006:8:1,Anywhere,climate
B-1006:9:1,Anywhere,climate
B-1006:10:1,Anywhere,climate
B-1006:11:1,Anywhere,climate
B-1006:12:1,Anywhere,climate
B-1010:1:1,Anywhere,climate
B-1010:2:1,Anywhere,climate
B-1010:3:1,Anywhere,climate
B-1010:4:1,Anywhere,climate
B-1010:5:1,Anywhere,climate
B-1010:6:1,Anywhere,climate
B-1010:7:1,Anywhere,climate
B-1010:8:1,Anywhere,climate
B-1010:9:1,Anywhere,climate
B-1010:10:1,Anywhere,climate
B-1010:11:1,Anywhere,climate
B-1010:12:1,Anywhere,climate
